sample-id	Name-sample	Name-experiment	Age-days	Body-site	days_since_experiment_start	group_experiment
M5169	PEYERMICE16D-PP1	PEYERMICE-PP1	D16	Peyer's patch	16	16_PP
M5637	PEYERMICE16D-PP2	PEYERMICE-PP2	D16	Peyer's patch	16	16_PP
M5657	PEYERMICE16D-PP3	PEYERMICE-PP3	D16	Peyer's patch	16	16_PP
M6357	WT060218 16J PP	WT060218 PP	D16	Peyer's patch	16	16_PP
M6361	WT070218 16J PP	WT070218 PP	D16	Peyer's patch	16	16_PP
M6405	WT200218 19J PP	WT200218 PP	D19	Peyer's patch	19	19_PP
M6926	WT100518 D19 PP 1	WT100518 PP 1	D19	Peyer's patch	19	19_PP
M6930	WT100518 D19 PP 2	WT100518 PP 2	D19	Peyer's patch	19	19_PP
M6365	WT060218 19J PP	WT060218 PP	D19	Peyer's patch	19	19_PP
M6369	WT070218 19J PP	WT070218 PP	D19	Peyer's patch	19	19_PP
M5173	PEYERMICE21D-PP1	PEYERMICE-PP1	D21	Peyer's patch	21	21_PP
M5641	PEYERMICE21D-PP2	PEYERMICE-PP2	D21	Peyer's patch	21	21_PP
M5661	PEYERMICE21D-PP3	PEYERMICE-PP3	D21	Peyer's patch	21	21_PP
M6377	WT070218 21J PP	WT070218 PP	D21	Peyer's patch	21	21_PP
M6934	WT100518 21d PP	WT100518 PP	D21	Peyer's patch	21	21_PP
M6373	WT060218 21J PP	WT060218 PP	D21	Peyer's patch	21	21_PP
M6381	WT060218 23J PP	WT060218 PP	D23	Peyer's patch	23	23_PP
M6385	WT070218 23J PP	WT070218 PP	D23	Peyer's patch	23	23_PP
M6409	WT190218 23J PP	WT190218 PP	D23	Peyer's patch	23	23_PP
M6413	WT200218 23J PP	WT200218 PP	D23	Peyer's patch	23	23_PP
M5177	PEYERMICE25D-PP1	PEYERMICE-PP1	D25	Peyer's patch	25	25_PP
M5645	PEYERMICE25D-PP2	PEYERMICE-PP2	D25	Peyer's patch	25	25_PP
M5665	PEYERMICE25D-PP3	PEYERMICE-PP3	D25	Peyer's patch	25	25_PP
M6389	WT060218 25J PP	WT060218 PP	D25	Peyer's patch	25	25_PP
M6393	WT070218 25J PP	WT070218 PP	D25	Peyer's patch	25	25_PP
M6942	WT100518 25d PP	WT100518 PP	D25	Peyer's patch	25	25_PP
M5181	PEYERMICE28D-PP1	PEYERMICE-PP1	D28	Peyer's patch	28	28_PP
M5649	PEYERMICE28D-PP2	PEYERMICE-PP2	D28	Peyer's patch	28	28_PP
M5669	PEYERMICE28D-PP3	PEYERMICE-PP3	D28	Peyer's patch	28	28_PP
M6397	WT060218 28J PP	WT060218 PP	D28	Peyer's patch	28	28_PP
